function_name,cpu-cycles,instructions,cache-misses,cache-ref 
invert,8281,4836,54,135 
invert,8206,4836,8,155 
invert,8923,4836,0,119 
invert,8161,4836,0,142 
invert,8111,4836,0,145 
invert,8156,4836,0,126 
invert,8243,4836,0,152 
invert,8163,4836,2,133 
invert,7974,4836,0,134 
invert,7909,4836,0,124 
invert,8027,4836,0,141 
invert,8195,4836,0,142 
invert,8051,4836,0,122 
invert,8365,4836,4,174 
invert,8007,4836,0,126 
invert,8056,4836,0,159 
invert,7977,4836,2,139 
invert,93222,63277,8,8143 
invert,7973,4836,0,154 
invert,7979,4836,0,131 
invert,7940,4836,0,119 
invert,7946,4836,0,122 
invert,8248,4836,0,148 
invert,8004,4836,1,138 
invert,7897,4836,0,148 
invert,8210,4836,0,148 
invert,8022,4836,0,121 
invert,7993,4836,0,140 
invert,8050,4836,0,172 
invert,8023,4836,0,151 
invert,8021,4836,0,165 
invert,8062,4836,0,118 
invert,8019,4836,5,129 
invert,8198,4836,0,146 
invert,8018,4836,0,127 
invert,7895,4836,0,143 
invert,8049,4836,0,130 
invert,8016,4836,2,178 
invert,7943,4836,0,109 
invert,7997,4836,0,128 
invert,8052,4836,0,133 
invert,16256,8365,4,1616 
invert,7977,4836,0,116 
invert,8080,4836,0,147 
invert,8004,4836,0,140 
invert,8126,4836,0,160 
invert,8022,4836,0,162 
invert,8179,4836,0,167 
invert,8090,4836,0,131 
invert,7946,4836,0,148 
invert,8090,4836,2,139 
invert,8080,4836,2,147 
invert,7984,4836,6,156 
invert,8260,4836,0,160 
invert,8193,4836,0,147 
invert,8025,4836,0,138 
invert,20057,9204,0,2331 
invert,8168,4836,0,183 
invert,8038,4836,1,159 
invert,8134,4836,0,142 
invert,8077,4836,0,126 
invert,7926,4836,2,141 
invert,18878,9025,2,2025 
invert,8123,4836,0,123 
invert,8125,4836,2,151 
invert,8134,4836,0,153 
invert,8068,4836,0,131 
invert,8071,4836,0,126 
invert,7929,4836,0,139 
invert,8165,4836,0,149 
invert,7955,4836,0,135 
invert,7962,4836,0,147 
invert,8031,4836,0,125 
invert,8104,4836,0,166 
invert,8117,4836,1,151 
invert,8138,4836,0,144 
invert,8013,4836,0,132 
invert,8221,4836,0,148 
invert,8060,4836,0,134 
invert,7925,4836,0,135 
invert,8043,4836,0,133 
invert,8181,4836,0,150 
invert,8164,4836,25,141 
invert,8060,4836,0,119 
