function_name,cpu-cycles,instructions,cache-misses,cache-ref 
invert,4890,4006,108,115 
invert,6216,4006,39,129 
invert,4341,4006,25,124 
invert,5811,4006,12,161 
invert,4375,4006,25,135 
invert,5199,4006,24,146 
invert,4518,4006,57,222 
invert,4020,4006,2,145 
invert,3914,4006,0,150 
invert,3982,4006,0,127 
invert,3918,4006,2,118 
invert,4242,4006,39,138 
invert,3849,4006,8,150 
invert,4094,4006,15,129 
invert,4336,4006,9,159 
invert,4589,4006,32,124 
invert,4132,4006,35,169 
invert,4119,4006,11,139 
invert,3787,4006,3,125 
invert,3935,4006,0,121 
invert,4804,4006,28,149 
invert,4064,4006,14,150 
invert,5359,4006,1,158 
invert,4119,4006,4,137 
invert,4277,4006,8,116 
invert,4205,4006,24,145 
invert,3949,4006,1,121 
invert,4890,4006,7,169 
invert,5198,4006,4,141 
invert,4583,4006,14,147 
invert,6111,4006,10,114 
invert,4744,4006,39,121 
invert,5177,4006,36,122 
invert,4333,4006,37,124 
invert,3712,4006,0,105 
invert,3941,4006,8,128 
invert,4267,4006,17,147 
invert,4505,4006,68,151 
invert,5695,4006,9,149 
invert,5636,4006,16,108 
invert,4202,4006,6,118 
invert,4763,4006,35,122 
invert,4713,4006,46,182 
invert,4754,4006,37,141 
invert,4437,4006,43,130 
invert,4049,4006,3,132 
invert,4559,4006,39,150 
invert,4019,4006,5,147 
invert,4051,4006,18,112 
invert,3946,4006,8,117 
invert,4765,4006,12,124 
invert,4177,4006,32,130 
invert,3883,4006,5,110 
invert,4148,4006,4,157 
invert,3924,4006,0,136 
invert,4042,4006,4,150 
invert,3908,4006,0,159 
invert,3767,4006,0,119 
invert,3988,4006,0,140 
invert,3917,4006,4,103 
invert,3879,4006,0,122 
invert,3842,4006,0,138 
invert,3771,4006,2,134 
invert,3708,4006,14,133 
invert,3843,4006,3,124 
invert,3899,4006,10,157 
invert,3758,4006,2,114 
invert,4203,4006,2,153 
invert,4072,4006,4,136 
invert,3747,4006,7,125 
invert,4072,4006,2,163 
invert,4177,4006,7,127 
invert,4890,4006,36,123 
invert,5404,4006,7,144 
invert,4320,4006,39,113 
invert,3941,4006,0,128 
invert,3896,4006,0,139 
invert,3953,4006,0,125 
invert,4011,4006,7,145 
invert,4500,4006,38,137 
invert,4057,4006,5,128 
invert,4153,4006,2,107 
invert,4083,4006,14,177 
invert,4478,4006,12,137 
invert,4260,4006,47,146 
invert,3689,4006,3,113 
invert,4187,4006,4,116 
invert,4284,4006,10,104 
invert,6274,4006,46,236 
invert,4632,4006,36,133 
invert,4129,4006,9,134 
invert,4449,4006,13,158 
invert,4381,4006,35,118 
invert,4193,4006,13,147 
invert,4251,4006,5,154 
invert,4084,4006,9,177 
invert,3785,4006,0,120 
invert,4125,4006,0,126 
invert,3783,4006,0,145 
invert,4925,4006,0,152 
a2hex,8512,7734,28,595 
a2hex,8056,7734,10,565 
a2hex,8296,7734,0,569 
a2hex,8266,7741,9,579 
a2hex,8482,7734,12,615 
a2hex,8593,7734,15,577 
a2hex,7978,7734,6,508 
a2hex,8267,7734,2,496 
a2hex,7941,7734,19,534 
a2hex,8769,7734,0,585 
a2hex,8224,7734,5,510 
a2hex,8342,7734,4,592 
a2hex,8505,7771,15,641 
a2hex,8125,7734,13,617 
a2hex,12994,7734,5,954 
a2hex,8418,7734,78,546 
a2hex,8630,7734,64,602 
a2hex,15999,7734,170,918 
a2hex,8245,7734,45,546 
a2hex,7861,7734,26,566 
a2hex,8308,7734,39,613 
a2hex,8646,7734,38,564 
a2hex,8650,7734,90,563 
a2hex,8041,7734,28,500 
a2hex,8092,7734,20,556 
a2hex,7919,7734,8,486 
a2hex,46316,8025,77,1164 
a2hex,8188,7771,66,591 
a2hex,8688,7734,64,570 
a2hex,8720,7734,33,581 
a2hex,8280,7734,18,534 
a2hex,8617,7734,13,599 
a2hex,7965,7734,12,549 
a2hex,10212,7734,167,647 
a2hex,8429,7734,52,605 
a2hex,8652,7734,20,568 
a2hex,8610,7734,46,616 
a2hex,8367,7734,16,581 
a2hex,9726,7734,42,566 
a2hex,8989,7734,62,577 
a2hex,8152,7734,11,522 
a2hex,8313,7734,10,631 
a2hex,8365,7734,7,583 
a2hex,15559,7734,10,540 
a2hex,8930,7734,42,822 
a2hex,8486,7734,12,584 
a2hex,8389,7734,11,543 
a2hex,8180,7734,20,560 
a2hex,8129,7734,8,546 
a2hex,8624,7755,7,540 
a2hex,8266,7734,6,575 
a2hex,8335,7734,31,642 
a2hex,9669,7734,49,626 
a2hex,10671,7734,90,470 
a2hex,8428,7734,20,615 
a2hex,11886,7771,145,655 
a2hex,8591,7734,52,535 
a2hex,8627,7771,41,627 
a2hex,8127,7734,31,600 
a2hex,8487,7734,34,581 
a2hex,8750,7734,53,534 
a2hex,8199,7734,39,552 
a2hex,8569,7734,22,542 
a2hex,11553,7734,8,772 
a2hex,8388,7734,26,528 
a2hex,8536,7734,17,543 
a2hex,9304,7734,95,545 
a2hex,8696,7734,50,604 
a2hex,8903,7741,22,524 
a2hex,8424,7734,17,530 
a2hex,7927,7734,30,528 
a2hex,8531,7734,66,604 
a2hex,8235,7748,23,480 
a2hex,8403,7748,22,548 
a2hex,8205,7734,21,535 
a2hex,8696,7734,39,554 
a2hex,9982,7771,109,523 
a2hex,8134,7734,4,494 
a2hex,8121,7734,6,519 
a2hex,8327,7741,7,586 
a2hex,51351,17030,37,1162 
a2hex,7906,7734,0,507 
a2hex,8105,7734,6,547 
a2hex,8051,7734,10,509 
a2hex,8032,7734,4,560 
a2hex,7978,7734,8,567 
a2hex,8375,7734,4,506 
a2hex,8173,7734,13,564 
a2hex,8302,7734,5,451 
a2hex,8467,7734,11,559 
a2hex,8540,7734,8,524 
a2hex,7989,7734,4,514 
a2hex,8082,7771,8,584 
a2hex,11205,7734,20,847 
a2hex,10170,7771,107,661 
a2hex,11289,7734,160,864 
a2hex,9850,7734,108,595 
a2hex,8427,7734,42,581 
a2hex,8232,7734,21,569 
a2hex,8855,7734,52,728 
AAS_DData,3883,2506,8,56 
AAS_DData,3924,2506,32,47 
AAS_DData,3375,2506,0,50 
AAS_DData,3527,2506,2,57 
AAS_DData,3437,2506,1,58 
AAS_DData,3306,2506,0,29 
AAS_DData,3434,2506,0,24 
AAS_DData,3904,2506,16,40 
AAS_DData,5285,2506,18,53 
AAS_DData,3759,2506,14,38 
AAS_DData,3503,2506,0,39 
AAS_DData,3587,2506,10,55 
AAS_DData,3745,2506,19,42 
AAS_DData,3935,2506,28,43 
AAS_DData,3293,2506,2,35 
AAS_DData,3443,2506,6,47 
AAS_DData,3382,2506,14,73 
AAS_DData,3485,2506,0,43 
AAS_DData,3777,2506,22,62 
AAS_DData,3707,2506,9,48 
AAS_DData,3613,2506,4,46 
AAS_DData,3881,2506,0,57 
AAS_DData,3456,2506,0,50 
AAS_DData,3592,2506,0,39 
AAS_DData,3738,2506,0,51 
AAS_DData,3505,2506,0,59 
AAS_DData,3339,2506,2,46 
AAS_DData,3455,2506,2,37 
AAS_DData,3455,2506,0,51 
AAS_DData,2060670,15826,1038,2050 
AAS_DData,3533,2506,3,39 
AAS_DData,3409,2506,2,56 
AAS_DData,3318,2506,0,39 
AAS_DData,3411,2506,4,39 
AAS_DData,3752,2506,45,50 
AAS_DData,5081,2506,8,84 
AAS_DData,3880,2506,30,48 
AAS_DData,3502,2506,0,39 
AAS_DData,3463,2506,4,47 
AAS_DData,3884,2506,0,60 
AAS_DData,3739,2506,15,51 
AAS_DData,3740,2506,29,62 
AAS_DData,3305,2506,2,27 
AAS_DData,3759,2506,27,82 
AAS_DData,3346,2506,0,42 
AAS_DData,3470,2506,2,48 
AAS_DData,3620,2506,26,46 
AAS_DData,4318,2506,18,48 
AAS_DData,3715,2506,12,47 
AAS_DData,3493,2506,0,44 
AAS_DData,3350,2506,3,31 
AAS_DData,4477,2506,24,63 
AAS_DData,3287,2506,2,42 
AAS_DData,3718,2506,7,54 
AAS_DData,3477,2506,14,59 
AAS_DData,3445,2506,1,59 
AAS_DData,3446,2506,30,68 
AAS_DData,3559,2506,4,47 
AAS_DData,3624,2506,22,47 
AAS_DData,3603,2506,2,57 
AAS_DData,3532,2506,2,46 
AAS_DData,3506,2506,23,93 
AAS_DData,3813,2506,0,50 
AAS_DData,3544,2506,0,57 
AAS_DData,3426,2506,0,46 
AAS_DData,3408,2506,0,34 
